"source_index","title","post_id","external_id","current_coverage","current_gate","cms_disposition","target_scope","target_title","public_visibility","upload_status","rationale","rollback"
"836","Destinos | Malé","142459","340c0c6739f9e5dcf47a1d21d74158b021f46be19ffcf2a3134d1858f0903442","SUPPORTED_MULTI_SECTION","READY_QA_TEXT_ONLY","KEEP_DRAFT","Male City","Destinos | Malé","DRAFT_PENDING_QA","UPLOAD_PENDING_CHANNEL","Página-base de destino com cobertura multi-seção.","Remover somente a futura mutação CMS; preservar o draft original."
"837","Hotelaria Global | Malé","142460","e6f69a6adcfb869c35cf58c824bba9c6caccb96d46f40dc766519100091b5722","SUPPORTED_NAMED_PROPERTIES","REQUIRES_RATE_AVAILABILITY_QA","KEEP_DRAFT","Male City + Hulhulé segmentado","Hotelaria Global | Malé","DRAFT_PENDING_QA","UPLOAD_PENDING_CHANNEL","Propriedades reais já separadas por geografia.","Restaurar o título e conteúdo do draft pelo backup pré-upload."
"838","Experiências | Malé","142461","db3f28bca2e4d10e055b17371bd58e238153c318a406f110991215eb065da3ae","SUPPORTED_OFFICIAL_ITINERARY_CONTEXT","REQUIRES_OPERATOR_VALIDATION","KEEP_DRAFT","Male City / Greater Malé","Experiências | Malé","DRAFT_PENDING_QA","UPLOAD_PENDING_CHANNEL","Roteiros editoriais suportados, sujeitos a operador.","Restaurar o draft pelo backup pré-upload."
"839","Fornecedores | Malé","142462","2c04b6dbb30f6c868429c497c05f6695215745fa975a6ff0adaed3c869185670","SUPPORTED_REGISTRY_AND_TRANSPORT_FRAMEWORK","REQUIRES_SUPPLIER_COMMERCIAL_QA","KEEP_DRAFT","Male City / Maldives registry","Fornecedores | Malé","DRAFT_PENDING_COMMERCIAL_QA","UPLOAD_PENDING_CHANNEL","Estrutura de elegibilidade regulatória sem parceria inferida.","Restaurar o draft pelo backup pré-upload."
"840","Sustentabilidade | Malé","142463","9a8f8bd3ae4fe459b352ce971e2b00b037373eda8ccf3b278e3a6d0debfb150b","SUPPORTED_POLICY_CONTEXT","REQUIRES_LOCAL_IMPLEMENTATION_QA","KEEP_DRAFT","Male City","Sustentabilidade | Malé","DRAFT_PENDING_LOCAL_QA","UPLOAD_PENDING_CHANNEL","Contexto oficial com implementação local pendente.","Restaurar o draft pelo backup pré-upload."
"841","Four Seasons | Malé","142464","135e5dd4e35578e376c5d43447645873037412ff0748d4cdc7d28ae90b7d81b6","COUNTRY_PRESENT_DESTINATION_MISMATCH","REQUIRES_DESTINATION_TAXONOMY_SPLIT","REMAP","Kuda Huraa / North Malé Atoll","Four Seasons | Kuda Huraa","HIDDEN_UNTIL_REMAP","UPLOAD_PENDING_CHANNEL","Propriedade operacional fora de Malé City.","Reassociar post_id ao slug/título anterior e remover o novo vínculo."
"842","Rosewood | Malé","142465","4fe7e3f34b8b259b318dc58a8f05e088bf69d3917c13e0ddaba5111e6fd38ae9","FUTURE_COUNTRY_PRESENCE_DESTINATION_MISMATCH","HOLD_FUTURE_OPENING_AND_TAXONOMY","SUPPRESS_HOLD","South Malé Atoll — futuro","Rosewood Ranfaru | South Malé Atoll","HIDDEN_FUTURE_OPENING","UPLOAD_PENDING_CHANNEL","Projeto futuro; não operacional e fora da cidade.","Reativar somente após abertura oficial e novo QA."
"843","Belmond | Malé","142466","f50dd25b15302e97bdbcca56040d650b996bec92d7296648cb34a7680b2636f9","NO_CURRENT_COUNTRY_PROPERTY_EVIDENCED","HOLD_OFFICIAL_PROPERTY_GAP","SUPPRESS_HOLD","Sem destino comprovado","Belmond | Maldives","HIDDEN_OFFICIAL_PROPERTY_GAP","UPLOAD_PENDING_CHANNEL","Nenhuma propriedade oficial nominal comprovada nas Maldivas.","Reativar somente com URL oficial de propriedade operacional."
"844","Aman | Malé","142467","98d7f78a66c37563e2b7e074c82e94c8c9dd4b3bd9b267e56cda7ccb3dab9b98","FUTURE_COUNTRY_PRESENCE_DESTINATION_MISMATCH","HOLD_FUTURE_OPENING_AND_TAXONOMY","SUPPRESS_HOLD","Maldives — futuro","Aman Maldives","HIDDEN_FUTURE_OPENING","UPLOAD_PENDING_CHANNEL","Projeto future/coming soon e fora de Malé City.","Reativar somente após abertura oficial, geografia e QA."
"845","Six Senses | Malé","142468","03075773ce235de0cd98d8a1b4f1cfaf53ccf987c49f5cc44ecba2850dedcce9","COUNTRY_PRESENT_DESTINATION_MISMATCH","REQUIRES_DESTINATION_TAXONOMY_SPLIT","REMAP_SPLIT","Kanuhura / Lhaviyani + Laamu Atoll","Six Senses | Maldives","HIDDEN_UNTIL_SPLIT","UPLOAD_PENDING_CHANNEL","Duas propriedades operacionais em outros atóis.","Remover páginas-filhas e restaurar o vínculo original."
"846","Relais & Châteaux | Malé","142469","027aa1bd97dd9f795eca6042c24829086c4e3f6e5505b2391d7fc654d7956da8","THEMATIC_COUNTRY_REFERENCE_NO_CITY_PROPERTY","HOLD_NAMED_PROPERTY_GAP","SUPPRESS_HOLD","Sem propriedade urbana comprovada","Relais & Châteaux | Maldives","HIDDEN_NAMED_PROPERTY_GAP","UPLOAD_PENDING_CHANNEL","Referência temática não prova estabelecimento em Malé.","Reativar somente com membro nominal e geografia oficial."
"847","The Leading Hotels of the World | Malé","142470","0d6f018235f8a3c09f6443e796f39c126b57a7e8bbf1ef13a443fa1d53a25411","COUNTRY_PRESENT_DESTINATION_MISMATCH","REQUIRES_DESTINATION_TAXONOMY_SPLIT","REMAP_SPLIT","Raa + Dhaalu Atoll","The Leading Hotels of the World | Maldives","HIDDEN_UNTIL_SPLIT","UPLOAD_PENDING_CHANNEL","Membros verificados em outros atóis.","Remover vínculos derivados e restaurar o draft original."
"848","Small Luxury Hotels | Malé","142471","bfefc114a2349198b888ba90fce38dc43760cdacd4ca9673004197d8c3242678","COUNTRY_PRESENT_CITY_SCOPE_UNPROVEN","REQUIRES_PROPERTY_GEO_NORMALIZATION","REMAP_NORMALIZE","Maldives por ilha/atoll","Small Luxury Hotels | Maldives","HIDDEN_UNTIL_GEO_NORMALIZATION","UPLOAD_PENDING_CHANNEL","Diretório usa rótulos comerciais que não comprovam Malé City.","Restaurar taxonomia anterior e remover normalizações."
"849","Virtuoso | Malé","142472","1cd378aacae34955acee40b01b386cc95941a551d015360e6c7d1e3460b532f9","NETWORK_PRESENT_CITY_SCOPE_UNPROVEN","REQUIRES_MEMBER_AND_BENEFIT_QA","REMAP_RENAME","Maldives / Malé Atoll","Virtuoso | Maldives","HIDDEN_UNTIL_MEMBER_QA","UPLOAD_PENDING_CHANNEL","Rede e destino existem; cidade, membership e benefícios exigem QA.","Restaurar título/slug e remover vínculos sem benefício validado."
"850","Serandipians | Malé","142473","8b968c0a7a59469ea8215154b894cca452e79fd8e61d8ca18da8e7fc96fc73c7","MEMBER_DIRECTORY_VERIFICATION_REQUIRED","HOLD_AUTHENTICATED_MEMBERSHIP_QA","SUPPRESS_HOLD","Não comprovado publicamente","Serandipians | Maldives","HIDDEN_AUTHENTICATED_QA","UPLOAD_PENDING_CHANNEL","Diretório público insuficiente; exige sessão legítima.","Reativar somente após membership verificada."
"851","Gastronomia Michelin | Malé","142474","9bef52250ce4c6aebef012c7dc933cb3b1de37bde6e2d26bbc3ee7d792e261e8","MICHELIN_RESTAURANT_COVERAGE_NOT_EVIDENCED","REQUIRES_MICHELIN_DESTINATION_RECHECK","SUPPRESS_NAV_KEEP_BACKEND","Male City","Gastronomia Michelin | Malé","HIDDEN_NO_RESTAURANT_COVERAGE","UPLOAD_PENDING_CHANNEL","Ausência de seleção de restaurantes; título público induziria erro.","Reexpor somente se o Guia incluir Malé em edição oficial."
"852","Rooftops & Beach Clubs | Malé","142475","5d20b58227592fb406b0162bda2bc82a7715ace32203c5ac86cb5b05f0155f53","PARTIAL_ROOFTOP_VERIFIED_BEACH_CLUB_GAP","REQUIRES_VENUE_QA_AND_BEACH_CLUB_GAP","SPLIT_MODULE","Male City / Hulhulé separado","Rooftops | Malé","DRAFT_ROOFTOP_BEACH_CLUB_HOLD","UPLOAD_PENDING_CHANNEL","Rooftop suportado; beach club não comprovado.","Restaurar módulo combinado e remover a divisão."
"853","Compras & Lifestyle | Malé","142476","92df305c8ee98e763b0a32e9121ee1b2326d93972ca4d4ca1920f09f7d0080a2","SUPPORTED_URBAN_SHOPPING_CONTEXT","REQUIRES_DYNAMIC_LOCAL_QA","KEEP_DRAFT","Male City","Compras & Lifestyle | Malé","DRAFT_PENDING_LOCAL_QA","UPLOAD_PENDING_CHANNEL","Contexto urbano suportado com dados dinâmicos.","Restaurar o draft pelo backup pré-upload."
"854","Wellness | Malé","142477","fecb9852c88841c909d9f9274b98859cc40cd41ddc4e5caab9620f7804d85e2a","SUPPORTED_URBAN_WELLNESS_CONTEXT","REQUIRES_SERVICE_AND_CLIMATE_QA","KEEP_DRAFT","Male City","Wellness | Malé","DRAFT_PENDING_SERVICE_QA","UPLOAD_PENDING_CHANNEL","Wellness urbano suportado sem importar resort-ilha.","Restaurar o draft pelo backup pré-upload."
"855","Experiências VIP | Malé","142478","23440028fbdcf884bbc8f295181973ede0522c4b5aa48cd104dae1aa1b98f06e","SUPPORTED_PRODUCT_CONCEPTS","REQUIRES_LICENSED_OPERATOR_AND_PRODUCT_QA","KEEP_GATED_DRAFT","Male City / departures under consultation","Experiências VIP | Malé","DRAFT_PENDING_OPERATOR_QA","UPLOAD_PENDING_CHANNEL","Conceitos suportados; produto e operador não validados.","Restaurar o draft pelo backup pré-upload."
"856","Logística & Transporte | Malé","142479","fe65949dc3ba3e0a1e0389206550159d5dbc4e4cd4e1df4dde383f0eec67f093","SUPPORTED_WITH_DYNAMIC_RECHECK","SOURCE_LINK_QA_REVIEW_REQUIRED","KEEP_DRAFT","Male City / Greater Malé","Logística & Transporte | Malé","DRAFT_PENDING_DYNAMIC_RECHECK","UPLOAD_PENDING_CHANNEL","Logística suportada com rechecagem de rota e tarifa.","Restaurar o draft pelo backup pré-upload."
"857","Salas VIP | Malé","142480","925592204a0d3f0fdb1d72c9223b1da5036144c41edacd6d693ec254ef1b1e5e","OFFICIAL_SOURCE_GAP_CONFIRMED","OFFICIAL_SOURCE_GAP","SUPPRESS_HOLD","Velana International Airport","Salas VIP | Malé","HIDDEN_OFFICIAL_SOURCE_GAP","UPLOAD_PENDING_CHANNEL","Nenhuma fonte oficial inequívoca recuperada.","Reativar somente com diretório oficial ou fonte autenticada."
"858","Ski Collection | Malé","142481","77f2ef0e009205e52b765d245ede709bb671bb2da05e2dfbc7bd7da9404aa4ca","DESTINATION_INAPPLICABLE","SUPPRESSION_REVIEW","SUPPRESS_INAPPLICABLE","Not applicable","Ski Collection | Malé","HIDDEN_INAPPLICABLE","UPLOAD_PENDING_CHANNEL","Módulo incompatível com o destino.","Reativar apenas por decisão editorial explícita e nova evidência."
