"source_index","title","category","post_id","external_id","mapped_section","source_path","source_blob_sha","coverage_status","publication_gate","next_action"
"836","Destinos | Malé","Destinos","142459","340c0c6739f9e5dcf47a1d21d74158b021f46be19ffcf2a3134d1858f0903442","Visão geral; Bairros, distritos e Greater Malé; Sazonalidade e clima; Documentação e consular; Logística e mobilidade; Atrações e patrimônio; Gastronomia; Hotelaria; Experiências sugeridas; Cultura e etiqueta; CTA; SEO; Schema hints","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","SUPPORTED_MULTI_SECTION","READY_QA_TEXT_ONLY","QA factual/SEO/schema e staging"
"837","Hotelaria Global | Malé","Hotelaria Global","142460","e6f69a6adcfb869c35cf58c824bba9c6caccb96d46f40dc766519100091b5722","Hotelaria","content/curadoria/maldivas/male/GAP_ENRICHMENT_HOTELS_EXPERIENCES_MALE_V1_2026-09-07.md","0c1297947c7527f477a5fbb80ff888daf3633853","SUPPORTED_NAMED_PROPERTIES","REQUIRES_RATE_AVAILABILITY_QA","Revalidar tarifa, disponibilidade, transfer e termos por cotação"
"838","Experiências | Malé","Experiências","142461","db3f28bca2e4d10e055b17371bd58e238153c318a406f110991215eb065da3ae","Experiências","content/curadoria/maldivas/male/GAP_ENRICHMENT_HOTELS_EXPERIENCES_MALE_V1_2026-09-07.md","0c1297947c7527f477a5fbb80ff888daf3633853","SUPPORTED_OFFICIAL_ITINERARY_CONTEXT","REQUIRES_OPERATOR_VALIDATION","Revalidar operador, ferries, horários, clima e acesso antes da confirmação"
"839","Fornecedores | Malé","Fornecedores","142462","2c04b6dbb30f6c868429c497c05f6695215745fa975a6ff0adaed3c869185670","Hotelaria; Logística e mobilidade","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","PARTIAL_NO_NAMED_SUPPLIERS","CONTENT_GAP","Pesquisar fornecedores elegíveis e verificáveis"
"840","Sustentabilidade | Malé","Sustentabilidade","142463","9a8f8bd3ae4fe459b352ce971e2b00b037373eda8ccf3b278e3a6d0debfb150b","Sustentabilidade","content/curadoria/maldivas/male/GAP_ENRICHMENT_SUSTAINABILITY_LOUNGES_MALE_V1_2026-09-07.md","5cebe34144338708a1a3c46fc3de515d5f2b7ae7","SUPPORTED_POLICY_CONTEXT","REQUIRES_LOCAL_IMPLEMENTATION_QA","QA factual e implementação local antes de publicação"
"841","Four Seasons | Malé","Parceiros Globais","142464","135e5dd4e35578e376c5d43447645873037412ff0748d4cdc7d28ae90b7d81b6","NONE_SPECIFIC","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","NO_PARTNER_SPECIFIC_CONTENT","CONTENT_GAP","Validar presença/produto real antes de criar conteúdo"
"842","Rosewood | Malé","Parceiros Globais","142465","4fe7e3f34b8b259b318dc58a8f05e088bf69d3917c13e0ddaba5111e6fd38ae9","NONE_SPECIFIC","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","NO_PARTNER_SPECIFIC_CONTENT","CONTENT_GAP","Validar presença/produto real antes de criar conteúdo"
"843","Belmond | Malé","Parceiros Globais","142466","f50dd25b15302e97bdbcca56040d650b996bec92d7296648cb34a7680b2636f9","NONE_SPECIFIC","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","NO_PARTNER_SPECIFIC_CONTENT","CONTENT_GAP","Validar presença/produto real antes de criar conteúdo"
"844","Aman | Malé","Parceiros Globais","142467","98d7f78a66c37563e2b7e074c82e94c8c9dd4b3bd9b267e56cda7ccb3dab9b98","NONE_SPECIFIC","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","NO_PARTNER_SPECIFIC_CONTENT","CONTENT_GAP","Validar presença/produto real antes de criar conteúdo"
"845","Six Senses | Malé","Parceiros Globais","142468","03075773ce235de0cd98d8a1b4f1cfaf53ccf987c49f5cc44ecba2850dedcce9","NONE_SPECIFIC","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","NO_PARTNER_SPECIFIC_CONTENT","CONTENT_GAP","Validar presença/produto real antes de criar conteúdo"
"846","Relais & Châteaux | Malé","Parceiros Globais","142469","027aa1bd97dd9f795eca6042c24829086c4e3f6e5505b2391d7fc654d7956da8","NONE_SPECIFIC","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","NO_PARTNER_SPECIFIC_CONTENT","CONTENT_GAP","Validar presença/produto real antes de criar conteúdo"
"847","The Leading Hotels of the World | Malé","Parceiros Globais","142470","0d6f018235f8a3c09f6443e796f39c126b57a7e8bbf1ef13a443fa1d53a25411","NONE_SPECIFIC","content/curadoria/maldivas/male/DOSSIER_MALE_PTBR_V1_2026-09-07.md","a176774a159a3453fe4bd1c33134864a1d3011d9","NO_PARTNER_SPECIFIC_CONTENT","CONTENT_GAP","Validar presença/produto real antes de criar conteúdo"
