match_status,action,lot_batches,lot_country,lot_destination,canonical_country,canonical_city,source_index,title,section,category,expected_post_type,post_id,external_id,wp_status
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,307,Destinos | Paris,Curadoria Global,Destinos,ang_curated,141905,cb5bb2a498644135176249c3b5279f9f9fe9e6d254083286c861d1602491f39e,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,308,Hotelaria Global | Paris,Curadoria Global,Hotelaria Global,ang_curated,141906,f19b5e6929e436f6766805ce709542d1a726e70a85308d5230683d0007eb7f16,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,309,Experiências | Paris,Curadoria Global,Experiências,ang_curated,141907,f73368557bd6a63427aceada19fdf87a246c1a69bbfa0f7fe2ea2c369d1dda5f,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,310,Fornecedores | Paris,Curadoria Global,Fornecedores,ang_curated,141908,176a39a508b3ec9a126ec5a140c84e78caeacd9b6a576cbfc594a7ed93e82fdd,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,311,Sustentabilidade | Paris,Curadoria Global,Sustentabilidade,ang_curated,141909,86f69dc262b6aad122d73a42b54476182f7f76a1ff0d09e6264b2f9dc229907c,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,312,Four Seasons | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141910,6d1bf4f52f24a5a4e90c0a965c315518c21ce61529b94716b8875a4949599d65,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,313,Rosewood | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141911,4e30763867c3053358f90bd49513c631a7ddbac81abba1a3ab483ed066ea462a,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,314,Belmond | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141912,512faa5af74b462ee48e819bb4c6a264400f9ecb41ed1a5dcb25b7baf50df1b5,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,315,Aman | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141913,be4bb07db6a20d8187307eb07e10a79e9a5a9d6d8b9b02cdf8166f8f4a34162e,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,316,Six Senses | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141914,4b1e9886731cd344bee865f0c3714953e822cf87bba1e8ab3980130e83596b2a,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,317,Relais & Châteaux | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141915,dac13cf95758069384ed2d71a88248d58ff5ce2f4a172df39895fb907427cc53,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,318,The Leading Hotels of the World | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141916,35b47751e8b3d2a0ff08b821017caf1bc4b7ab5b4cce8d015d121642c5d87256,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,319,Small Luxury Hotels | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141917,076dc09ba524d77fcc26695467e611f05a669f9c281200058f41e65daacb1e07,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,320,Virtuoso | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141918,b6dfbb67d0ee30317af114f0bbb18931c329d2a0a4437b97a8c29a96a00abb8b,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,321,Serandipians | Paris,Conteúdo Global,Parceiros Globais,ang_curated,141919,a350b2235f99f134c11eba2d8080e943fd3a37ae9a7f7019c0af13b1c9f66264,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,322,Gastronomia Michelin | Paris,Curadoria VIP,Gastronomia Michelin,ang_curated,141920,647741db4d6413cb4f728b754df0e7fa641e82d5890f942c8105b737f7f1b93f,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,323,Rooftops & Beach Clubs | Paris,Curadoria VIP,Rooftops & Beach Clubs,ang_curated,141921,aaa41e58f747a4f0d9aa1cf42011ad2ae4d4c255f61b92235fefcdf0a4af1df7,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,324,Compras & Lifestyle | Paris,Curadoria VIP,Compras & Lifestyle,ang_curated,141922,07308337c8baf93741194705fb88bd467f721357808771c5fd6b378390aadc0f,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,325,Wellness | Paris,Curadoria VIP,Wellness,ang_curated,141923,eb1c1b5cd5d4eca718fc7ab1aec028399c1ffbdf3e67b6d75d153269eb3fd75f,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,326,Experiências VIP | Paris,Curadoria VIP,Experiências VIP,ang_curated,141924,0e7484e95570b16a1c70d00906a7e8f6f4e853b6380a86d6b7e5a4bb794a3fe2,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,327,Logística & Transporte | Paris,Curadoria VIP,Logística & Transporte,ang_curated,141925,d55ab194c16bc6a152581eef6796c96342227a9c7bd12478087840b2c93563ab,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,328,Salas VIP | Paris,Curadoria VIP,Salas VIP,ang_lounge,141926,a5f5b0fb64605786315621decc8840f186fbeb3c7f5ccd93edcb7de58cb9db17,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,A|03,FRANÇA,Paris,França,Paris,329,Ski Collection | Paris,Curadoria VIP,Ski Collection,ang_curated,141927,34f4e9e382f5730d1332a42d927c7a350167f285df5bd270e5575f4ec6c8ca24,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,399,Destinos | Roma,Curadoria Global,Destinos,ang_curated,141997,ead474e18c1b5d018e08d1cb1fa76ae0fafede514e1c04cead1f6cee67d90467,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,400,Hotelaria Global | Roma,Curadoria Global,Hotelaria Global,ang_curated,141998,8b3574a00a5468790750b6337d2d5b7bda048dcdc28df15bd668399c571ce7c6,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,401,Experiências | Roma,Curadoria Global,Experiências,ang_curated,141999,6fb88f9523b93ee2cabf0e81e4e09e021827ee994dc8901688e8a736cf40f2af,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,402,Fornecedores | Roma,Curadoria Global,Fornecedores,ang_curated,142000,af2d3bd04823af70a5482600845daf14adc54d4d36f526b6c35e4d90707e3585,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,403,Sustentabilidade | Roma,Curadoria Global,Sustentabilidade,ang_curated,142001,8cec3dc625bd6d2e7d8b913feaebc149506ce6420064832019a6b614f96e446f,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,404,Four Seasons | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142002,9ab7527b729739843d0ab97b8751b8db0cfcaada3f9f8c484865309783032337,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,405,Rosewood | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142003,cfd9c9f58f2ebda64952306e28c3c5a68ecbf07f92273c27c555daea7eccda2c,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,406,Belmond | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142004,94b93dba6cd299b5c1512752cd36c96594c69ed5338864d9dcaf4aa699d68c39,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,407,Aman | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142005,cf7b811450ba527ab3aa1a2e984e3e30c1bd4eccae5ecb22bec4b016aab0e0a2,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,408,Six Senses | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142006,35eb6f36cc9eea0f4921218088c39a38ba3907f92a95fd8b39811ab06912a993,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,409,Relais & Châteaux | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142007,85994e4395b0fa8b638d85bf71c2a6f3ab12d51cf4ca9e1dc46eeca4bb3cc032,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,410,The Leading Hotels of the World | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142008,b42b003f18b1ba24af6311b41352016ac465830b3d0884d5551bc27a14b58a3b,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,411,Small Luxury Hotels | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142009,b243c9aabe1607ebc580fbf7f268682677f1adba4e97c47fe9d9264568d337db,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,412,Virtuoso | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142010,9163f6aa1aec2a9f0afed6a18dc8e3ea18851bfae91d62199aaa170dd2392e8a,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,413,Serandipians | Roma,Conteúdo Global,Parceiros Globais,ang_curated,142011,27989791213efe73f72c8975df995bfc23abeb21af94e7f3da60bebaedb15761,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,414,Gastronomia Michelin | Roma,Curadoria VIP,Gastronomia Michelin,ang_curated,142012,55a33498d753d04481b11d0a52ea1506cc00e6df9d867e6414796552a83b3f03,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,415,Rooftops & Beach Clubs | Roma,Curadoria VIP,Rooftops & Beach Clubs,ang_curated,142013,c3e368923d2b3583b0a30ec822cd37ea02448631e8475815cbf7a97a7a70c939,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,416,Compras & Lifestyle | Roma,Curadoria VIP,Compras & Lifestyle,ang_curated,142014,531db1afe5d57789b391b7a769eac559f30c51bd7bc4b590d945490b1729aeb8,draft
MATCH_EXACT_COUNTRY_CITY,MERGE_REVIEW,03,ITÁLIA,Roma,Itália,Roma,417,Wellness | Roma,Curadoria VIP,Wellness,ang_curated,142015,74f2d4ad67c516dcda59faf4395b75c895e272986ad6825bbcf201fccb1af949,draft
