batch,country,iso2,official_tourism_source,source_gate,discovery_target,modules_per_destination,content_gate,media_gate,seo_schema_gate,staging_gate,publication
WORLD-01,Argentina,AR,https://argentina.travel/,OFFICIAL_SOURCE_PASS,"Buenos Aires; Mendoza/Valle de Uco; Patagonia; Los Glaciares; Salta/Jujuy; Córdoba; Tierra del Fuego; additional official regions",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Australia,AU,https://www.australia.com/en,OFFICIAL_SOURCE_PASS,"Sydney; Melbourne; Great Barrier Reef; Uluru/Kata Tjuta; Tasmania; Whitsundays; Perth/Western Australia; additional official destinations",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Austria,AT,https://www.austria.info/en-gb/inspiration/destinations/,OFFICIAL_SOURCE_PASS,"Vienna; Salzburg; Innsbruck; Graz; Linz; Salzkammergut; Tirol/Alpine regions; national parks; additional official destinations",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Bahamas,BS,https://www.bahamas.com/islands,OFFICIAL_SOURCE_PASS,"Nassau & Paradise Island; The Exumas; Eleuthera & Harbour Island; The Abacos; Andros; Bimini; Grand Bahama; additional official islands",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Canada,CA,https://travel.destinationcanada.com/en-ca,OFFICIAL_SOURCE_PASS,"Toronto; Montréal; Québec City; Vancouver; Whistler; Banff/Rockies; Niagara; Atlantic Canada; Northern lights regions; additional official destinations",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Chile,CL,https://chile.travel/en/,OFFICIAL_SOURCE_PASS,"Santiago; Atacama; Patagonia/Torres del Paine; Valparaíso; wine valleys; Easter Island/Rapa Nui; Lake District; ski regions; additional official destinations",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Costa Rica,CR,https://www.visitcostarica.com/,OFFICIAL_SOURCE_PASS,"San José; Arenal/La Fortuna; Monteverde; Guanacaste; Manuel Antonio; Osa; Caribbean coast; volcano/national-park regions; additional official destinations",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Croatia,HR,https://croatia.hr/en-gb,OFFICIAL_SOURCE_PASS,"Zagreb; Dubrovnik; Split; Hvar; Istria/Rovinj; Zadar; Plitvice; Kvarner/islands; additional official destinations",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Egypt,EG,https://www.experienceegypt.eg/en/,OFFICIAL_SOURCE_PASS,"Cairo/Giza; Nile/Luxor/Aswan; Red Sea/Sharm El-Sheikh; Hurghada; Alexandria/Med; deserts & oases; additional official destinations",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
WORLD-01,Mexico,MX,https://visitmexico.com/en/,OFFICIAL_SOURCE_PASS,"Mexico City; Riviera Maya/Tulum; Cancún; Los Cabos; Oaxaca; Guadalajara; Puerto Vallarta; Yucatán; Riviera Nayarit; additional official states/Pueblos Mágicos",23,DISCOVERY_READY,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED,HOLD
