batch,country,iso2,official_source,destination_seed,destination_type,modules,identity_gate,source_gate,content_gate,media_gate,seo_schema_gate,staging_gate
WORLD-02,New Zealand,NZ,https://www.newzealand.com/int/,Auckland,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,New Zealand,NZ,https://www.newzealand.com/int/,Queenstown,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,New Zealand,NZ,https://www.newzealand.com/int/,Rotorua,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,New Zealand,NZ,https://www.newzealand.com/int/,Fiordland,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,New Zealand,NZ,https://www.newzealand.com/int/,Bay of Islands,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,South Africa,ZA,https://visit.southafrica.net/,Cape Town,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,South Africa,ZA,https://visit.southafrica.net/,Johannesburg,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,South Africa,ZA,https://visit.southafrica.net/,Kruger National Park,park,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,South Africa,ZA,https://visit.southafrica.net/,Winelands,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,South Africa,ZA,https://visit.southafrica.net/,Garden Route,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Morocco,MA,https://www.visitmorocco.com/en,Marrakech,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Morocco,MA,https://www.visitmorocco.com/en,Fez,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Morocco,MA,https://www.visitmorocco.com/en,Casablanca,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Morocco,MA,https://www.visitmorocco.com/en,Essaouira-Mogador,city_region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Morocco,MA,https://www.visitmorocco.com/en,Agadir-Taghazout,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Iceland,IS,https://www.visiticeland.com/,Reykjavik,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Iceland,IS,https://www.visiticeland.com/,South Iceland,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Iceland,IS,https://www.visiticeland.com/,Westfjords,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Iceland,IS,https://www.visiticeland.com/,North Iceland,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Iceland,IS,https://www.visiticeland.com/,Snæfellsnes,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Norway,NO,https://www.visitnorway.com/en/,Oslo,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Norway,NO,https://www.visitnorway.com/en/,Bergen,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Norway,NO,https://www.visitnorway.com/en/,Lofoten,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Norway,NO,https://www.visitnorway.com/en/,Tromsø,city,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-02,Norway,NO,https://www.visitnorway.com/en/,Geirangerfjord,region,23,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
