batch,country,iso2,official_source,destination_seed,destination_type,modules,editorial_standard,identity_gate,source_gate,content_gate,media_gate,seo_schema_gate,staging_gate
WORLD-03,Spain,ES,https://www.spain.info/en/,Madrid,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Spain,ES,https://www.spain.info/en/,Barcelona,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Spain,ES,https://www.spain.info/en/,Seville,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Spain,ES,https://www.spain.info/en/,Balearic Islands,island_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Spain,ES,https://www.spain.info/en/,Canary Islands,island_region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Germany,DE,https://www.germany.travel/en/,Berlin,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Germany,DE,https://www.germany.travel/en/,Munich,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Germany,DE,https://www.germany.travel/en/,Hamburg,city,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Germany,DE,https://www.germany.travel/en/,Bavarian Alps,region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
WORLD-03,Germany,DE,https://www.germany.travel/en/,Black Forest,region,23,GLOBAL_V1,NEW_ID_REQUIRED,OFFICIAL_SOURCE_PASS,QUEUED,HOLD_LICENSE_PROOF,PENDING,NOT_TESTED
